trial,filter,tagp_total_deg,tagp_heading_deg,tagp_inclination_deg,zero_shot_total_deg
11_undisturbed_slow_translation_B.hdf5,Complementary,2.7036844353003064,1.9712713543732636,1.8504989261334939,
11_undisturbed_slow_translation_B.hdf5,Mahony,3.21506349407819,1.837072337153454,2.638637256382459,
11_undisturbed_slow_translation_B.hdf5,Madgwick,3.1955291669517587,1.352606277026491,2.895209050345995,
11_undisturbed_slow_translation_B.hdf5,MEKF,2.7488603020233984,2.519188799185056,1.1000604674509595,
11_undisturbed_slow_translation_B.hdf5,ARBITER,5.398527712654999,4.463802525679656,3.0372262427925825,
11_undisturbed_slow_translation_B.hdf5,VQF,2.052967800020209,2.0095825298466794,0.4198490625918256,
12_undisturbed_slow_translation_C.hdf5,Complementary,2.7208642190471326,0.9009928105291606,2.5673820455008007,
12_undisturbed_slow_translation_C.hdf5,Mahony,2.405624996350806,1.6868437834866783,1.7151693479981305,
12_undisturbed_slow_translation_C.hdf5,Madgwick,2.5807556351464735,0.8773139903754015,2.4270826106518375,
12_undisturbed_slow_translation_C.hdf5,MEKF,1.7540884735920985,1.5887742088272556,0.7434076323271706,
12_undisturbed_slow_translation_C.hdf5,ARBITER,4.46475637205723,3.5021998591741026,2.7708397829336304,
12_undisturbed_slow_translation_C.hdf5,VQF,1.3549386174488294,1.3308423545243042,0.2544013049503423,
13_undisturbed_slow_translation_with_breaks_A.hdf5,Complementary,6.576079719131611,6.543322216581693,0.6559016322325556,
13_undisturbed_slow_translation_with_breaks_A.hdf5,Mahony,8.53571050497927,8.315281166590527,1.9290160491780262,
13_undisturbed_slow_translation_with_breaks_A.hdf5,Madgwick,3.922172960189193,3.519784553862589,1.7307442813012384,
13_undisturbed_slow_translation_with_breaks_A.hdf5,MEKF,1.5326985213690092,1.3980478992011203,0.6282077768586667,
13_undisturbed_slow_translation_with_breaks_A.hdf5,ARBITER,1.7569772619693433,1.5418219390322614,0.8424958942486981,
13_undisturbed_slow_translation_with_breaks_A.hdf5,VQF,2.4729160091205453,2.439782858454116,0.40348156398103285,
14_undisturbed_slow_translation_with_breaks_B.hdf5,Complementary,2.2772027621934487,1.6384927222981958,1.5815097771580626,
14_undisturbed_slow_translation_with_breaks_B.hdf5,Mahony,2.4538617459015066,1.5946047299991564,1.865177406688492,
14_undisturbed_slow_translation_with_breaks_B.hdf5,Madgwick,2.6252709381364236,1.2310149603490754,2.318795709263394,
14_undisturbed_slow_translation_with_breaks_B.hdf5,MEKF,2.172110085858627,2.0288096820607016,0.7759236196169,
14_undisturbed_slow_translation_with_breaks_B.hdf5,ARBITER,3.457776000426475,2.7940620171758894,2.0372962250070614,
14_undisturbed_slow_translation_with_breaks_B.hdf5,VQF,2.2720237694924443,2.2342299167878257,0.4127114390925832,
15_undisturbed_fast_translation_A.hdf5,Complementary,20.814796624721904,18.187084421499634,10.204117275080597,
15_undisturbed_fast_translation_A.hdf5,Mahony,10.716694144150553,7.973540690787435,7.167161726206367,
15_undisturbed_fast_translation_A.hdf5,Madgwick,16.56865977733199,15.965912185335249,4.452265402435599,
15_undisturbed_fast_translation_A.hdf5,MEKF,14.25989002554925,13.085486188696073,5.68265584647087,
15_undisturbed_fast_translation_A.hdf5,ARBITER,5.297557380701095,5.205227614514747,0.9851407127970582,
15_undisturbed_fast_translation_A.hdf5,VQF,2.0437118636167533,1.988826464130267,0.47047108322920633,
16_undisturbed_fast_translation_B.hdf5,Complementary,25.97759421668174,6.259375871130651,25.223655849662777,
16_undisturbed_fast_translation_B.hdf5,Mahony,17.62863594893002,14.042225935956296,10.71449952324387,
16_undisturbed_fast_translation_B.hdf5,Madgwick,3.9221760112948947,2.7644833586108026,2.782575106514347,
16_undisturbed_fast_translation_B.hdf5,MEKF,22.604419248792624,19.68785184636202,11.36133949722083,
16_undisturbed_fast_translation_B.hdf5,ARBITER,4.881118874762378,3.300960605773374,3.5961784247003297,
16_undisturbed_fast_translation_B.hdf5,VQF,2.313747584193649,2.24997983584086,0.5394972927417787,
17_undisturbed_fast_translation_with_breaks_A.hdf5,Complementary,19.125623804290786,17.14723805329708,8.533879394741708,
17_undisturbed_fast_translation_with_breaks_A.hdf5,Mahony,8.273480362201864,5.497560505154365,6.184823475876072,
17_undisturbed_fast_translation_with_breaks_A.hdf5,Madgwick,10.857788169779825,9.953767095665825,4.344573170288279,
17_undisturbed_fast_translation_with_breaks_A.hdf5,MEKF,13.804587701510691,12.257839018383041,6.370847984827455,
17_undisturbed_fast_translation_with_breaks_A.hdf5,ARBITER,3.77960848271231,3.5963015992127905,1.162866273857736,
17_undisturbed_fast_translation_with_breaks_A.hdf5,VQF,2.112652740230102,2.0394602893306533,0.5513048229797194,
18_undisturbed_fast_translation_with_breaks_B.hdf5,Complementary,28.701738568603197,4.843778637394046,28.306969415159482,
18_undisturbed_fast_translation_with_breaks_B.hdf5,Mahony,26.948378534723844,21.909864152086698,15.87234500224571,
18_undisturbed_fast_translation_with_breaks_B.hdf5,Madgwick,3.6428265656082854,1.6230639511235379,3.261382158525866,
18_undisturbed_fast_translation_with_breaks_B.hdf5,MEKF,29.200477259356568,25.321469579579972,14.773770201498708,
18_undisturbed_fast_translation_with_breaks_B.hdf5,ARBITER,3.5869283629430715,3.437329622036125,1.0252711511771841,
18_undisturbed_fast_translation_with_breaks_B.hdf5,VQF,2.766588796035082,2.697700964336677,0.6135887211335287,
19_undisturbed_slow_combined_240s.hdf5,Complementary,2.938342166351684,2.8795706968211845,0.5848095075258151,
19_undisturbed_slow_combined_240s.hdf5,Mahony,2.833343309127977,2.4655278530375444,1.396192922234859,
19_undisturbed_slow_combined_240s.hdf5,Madgwick,2.8505870399163324,2.1571720517523096,1.863575272402197,
19_undisturbed_slow_combined_240s.hdf5,MEKF,3.6818059618145007,3.618385089902167,0.6805587309477569,
19_undisturbed_slow_combined_240s.hdf5,ARBITER,3.8835627496726732,3.693046651949919,1.2016877563746529,
19_undisturbed_slow_combined_240s.hdf5,VQF,2.563125679755553,2.533028069703679,0.39167393229836805,
20_undisturbed_slow_combined_360s.hdf5,Complementary,2.9242081462291867,2.8663695100193296,0.5787813505944217,
20_undisturbed_slow_combined_360s.hdf5,Mahony,2.799077446014891,2.3733355942079317,1.4840470002346575,
20_undisturbed_slow_combined_360s.hdf5,Madgwick,2.718085619130306,1.9582562819906937,1.8850861737209454,
20_undisturbed_slow_combined_360s.hdf5,MEKF,4.035511645924988,3.934567790864311,0.897134501154642,
20_undisturbed_slow_combined_360s.hdf5,ARBITER,4.717506122761952,4.404119812878795,1.6913075437063463,
20_undisturbed_slow_combined_360s.hdf5,VQF,2.576962443884208,2.546962391486247,0.39210217964609667,
21_undisturbed_fast_combined.hdf5,Complementary,11.979858928544848,8.919857673377715,8.006823112435466,
